max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.0,1.0,0.0,0.0,0.67
0.0,1.0,0.0,0.0,0.67
0.0,1.0,0.0,0.0,0.67
0.0,1.0,0.0,0.0,0.67
0.0,1.0,0.0,0.0,0.67
0.5,0.75,0.0,0.0,0.75
0.4,0.6,0.0,0.0,0.8
0.4,0.6,0.0,0.0,0.8
0.5,0.5,0.0,0.0,1.0
0.5,0.5,0.0,0.0,1.0
0.4,0.6,0.0,0.0,1.0
0.4,0.6,0.0,0.0,1.0
0.4,0.6,0.0,0.0,1.0
0.4,0.6,0.0,0.0,1.0
0.33,0.67,0.0,0.0,0.83
0.33,0.67,0.0,0.0,0.83
0.29,0.57,0.0,0.0,0.71
0.29,0.57,0.0,0.0,0.71
0.29,0.57,0.0,0.0,0.71
0.29,0.57,0.0,0.0,0.71
0.29,0.57,0.0,0.0,0.71
0.29,0.57,0.0,0.0,0.71
0.29,0.57,0.0,0.0,0.71
0.29,0.57,0.0,0.0,0.71
0.29,0.57,0.0,0.0,0.71
0.29,0.57,0.0,0.0,0.71
0.33,0.67,0.0,0.0,0.67
0.33,0.67,0.0,0.0,0.67
0.33,0.67,0.0,0.0,0.67
0.33,0.67,0.0,0.0,0.67
0.4,0.8,0.0,0.0,0.6
0.33,0.67,0.0,0.0,0.5
0.33,0.67,0.0,0.0,0.5
0.33,0.67,0.0,0.0,0.5
0.33,0.67,0.0,0.0,0.5
0.33,0.5,0.0,0.0,0.33
0.4,0.4,0.0,0.0,0.4
0.4,0.4,0.0,0.0,0.4
0.4,0.4,0.0,0.0,0.4
0.4,0.4,0.0,0.0,0.4
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.67
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.67
0.5,0.5,0.0,0.0,0.5
0.5,0.5,0.0,0.0,0.5
0.5,0.5,0.0,0.0,0.5
0.5,0.5,0.0,0.0,0.5
0.5,0.5,0.0,0.0,0.5
0.5,0.5,0.0,0.0,0.5
0.5,0.5,0.0,0.0,0.5
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.5,0.0,0.0,0.25
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.67,0.0,0.0,0.33
0.0,0.5,0.0,0.0,0.5
0.0,0.4,0.25,0.25,0.6
0.0,0.4,0.25,0.25,0.6
0.0,0.4,0.25,0.25,0.6
0.0,0.4,0.25,0.25,0.6
0.0,0.4,0.25,0.25,0.6
0.0,0.0,0.33,0.33,0.75
0.0,0.0,0.33,0.33,0.75
0.0,0.0,0.33,0.33,0.75
0.0,0.0,0.33,0.33,0.75
0.0,0.0,0.5,0.5,1.0
0.0,0.0,0.5,0.5,1.0
0.0,0.0,0.5,0.5,1.0
0.0,0.0,0.5,0.5,1.0
0.0,0.0,0.5,0.5,1.0
0.0,0.0,0.5,0.5,1.0
0.0,0.5,0.33,0.33,1.0
0.0,0.5,0.33,0.33,1.0
0.0,0.5,0.33,0.33,1.0
0.0,0.5,0.33,0.33,1.0
0.0,0.67,0.5,0.5,1.0
0.0,0.67,0.5,0.5,1.0
0.0,0.67,0.5,0.5,1.0
0.0,0.67,0.5,0.5,1.0
0.0,0.67,0.5,0.5,1.0
0.0,0.67,0.5,0.5,1.0
0.0,0.67,0.5,0.5,1.0
0.0,0.67,0.5,0.5,1.0
0.0,0.67,0.5,0.5,1.0
0.0,0.67,0.5,0.5,1.0
0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.67,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.67
0.67,0.0,0.0,0.0,0.67
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.4,0.0,0.0,0.0,0.4
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.4,0.0,0.25,0.0,0.6
0.4,0.0,0.25,0.0,0.6
0.5,0.0,0.33,0.0,0.75
0.4,0.0,0.5,0.25,0.8
0.4,0.0,0.5,0.25,0.8
0.4,0.0,0.5,0.25,0.8
0.33,0.0,0.4,0.2,0.83
0.33,0.0,0.4,0.2,0.83
0.33,0.0,0.4,0.2,0.83
0.0,0.0,0.5,0.25,1.0
0.0,0.0,0.5,0.25,1.0
0.0,0.0,0.5,0.25,1.0
0.0,0.0,0.67,0.33,1.0
0.0,0.0,0.5,0.25,0.8
